prompt,completion
@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great #sting #xph,joy
@PatBlanchfield so you mean “like Uber but for despair for someone other than the driver',disgust
@buzzlightbeard2 If you don't love yourself... Honesty is the best policy #smile,"joy
optimism
trust"
"@healeyraine I'm offended, I actually am","anger
sadness"
"In my room 101 would go  Russell Howard,Tom Odell,Michael Buble!!! #pants #nogood ","anger
disgust
pessimism
sadness"
Gaaaaaaaad! Should have stayed in London!,"anger
disgust
sadness"
May the optimism of tomorrow be your foundation for today.,optimism
@m_giacchino will this be aired on radio or filmed? Lots of fans over the pond too! #wales #lost,"joy
optimism
sadness"
"@GambinoDeeJay @Linda76Graham @mikeeshy \n\nAnd also, trying to find it on Youtube is a fucking nightmare.","anger
disgust"
"@TheSandraGal Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty","joy
love
optimism
trust"
@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain ,"anger
disgust"
@andreasarahco do you actually heely on campus bc this should scare you,fear
#GetSmartWithARQ is a smart way to start investing and #whiteicenetwork is smart source 2 #start #skilled #manpower #recruitment for ur firm,"anticipation
joy
optimism
surprise"
Omg I actually thought she was going to jump. #bully #SouthPark20 #southpark,anticipation
@STLouis_RamsFan their whole team is limited when they're on the field. ,"joy
optimism"
"Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815",joy
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression  #anxietyprobz","fear
sadness"
"This night is sparkling, don't you let it go! I'm wonderstruck, blushing all the way home..' #ValerieBot","joy
love
optimism
surprise"
The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman,"joy
love
optimism"
People who go the speed limit irritate me,"anger
disgust"
#FF \n\n@The_Family_X \n\n#soul #blues &amp; #rock #band\n\n#music from the #heart\n\nWith soul &amp; #passion \n\nXx 🎶 xX,joy
Last @LGCanada product I buy - I promise! Absolutely  #CustomerService,"anger
anticipation
disgust
optimism"
@DaniQays @AJENews ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...,"anger
disgust
fear"
@jamiesmart Huh! It's always my fault isn't it &gt;:( #huff #sulk,"anger
disgust
sadness"
@StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --,"anger
disgust
sadness"
@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ ,fear
"@Johncrookshanks 'Elizabeth Smith!' She said with a cheery smile 'Pleasure to meet you, sir! Where have you travelled from?'","anticipation
joy
optimism
trust"
My fav #movies are #horror but they don't make them like they used too. Haven't seen a great one in years,"disgust
sadness"
"James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18 #bitter  #shouldofVotedforNicole","anger
disgust
sadness"
I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.,"anger
disgust"
@AzyraiZelo I am shy xD,"fear
pessimism
sadness"
After what just happened. In need to smoke. ,anger
@ATrumping hahahahahaha!! Oh gosh. You are hilarious. A black man trying to keep racism alive. Get out of here man.,"anger
disgust
joy
optimism"
Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her,anger
Chris ate all my mac n cheese so imma eat all his taffy #revenge,"anger
disgust
joy"
"@JohnDotWhite I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s.","anticipation
joy"
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,"anger
disgust
fear"
I came to work for no reason 😩🔫\nI could've stayed in bed,"anger
pessimism
sadness"
That old lady is cray cray #scared #BellaIsSoCute #awe #Empire,fear
@MatherFamilys @SDICenter @CAllstadt \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown?,"anger
disgust
pessimism"
hi my names anxiety and i have shaun,fear
"Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat","disgust
sadness"
Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney,"anger
disgust
pessimism"
"Ha! @mquirk @joshuahoodbooks Got your book after our 'meeting' at the Starbucks in NOLA. If Josh says it's terrific, I'm all in.","anticipation
joy
optimism
trust"
"On the bright side, my music theory teacher just pocket dabbed and said, 'I know what's hip.' And walked away 😂😭",joy
"@Cpt_SRogers_\n'Well it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --","anger
anticipation
disgust"
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression #anxiety #anxietyprobz","fear
sadness"
Morning all! Of course it is sunny on this Monday morning to cheerfully welcome us back to work.:),"joy
optimism"
#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; #delight! #isthereahelplineforthis,"anticipation
joy"
"Although this war will be under the guise of combating terrorism it will in fact be a war against poverty, ignorance and just stupidity.","anger
disgust
optimism"
God we need a new goal keeper! They’re both horrific.,"anger
disgust
pessimism"
@maggyvaneijk Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare,"fear
sadness"
"@asda if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't ","pessimism
sadness
surprise"
"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky","fear
optimism"
wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,"pessimism
sadness"
I am worried that she felt safe. #unhappy,"fear
sadness"
@DaltonRapattoni sadly i have to go to bed now don't announce anything while i'm gone thank u i love you,"joy
love
sadness"
"I look at some of the average players that play at the min and pine Nani, Rafael , RVP ,","joy
optimism"
#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the ,anger
"@Nikhilv95 @LydiajaneF I wish, I really, truly wish, that I had just a modicum of your banter. ","anticipation
joy
optimism"
HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle,"anger
disgust
joy
optimism"
Nothing worse than an uber driver that can't drive. #awful,"anger
disgust"
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet","anger
disgust"
Said it before and I'll say it now: America is really fortunate that black people only want equality and not revenge.,"anticipation
joy"
@RIPPoohSavage u know ion play that shit bout my weary brother,"anger
disgust"
@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees,"anger
disgust"
Happy Birthday @Brooke56_56 #cheer #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer,"joy
love"
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.","anger
disgust
fear"
Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.,"anger
disgust"
"We're in contained depression. Only new economic engine is #Sustainability, say Joel @makower + @markmykleby @ #VERGEcon. #NewGrandStrategy","pessimism
sadness"
Solid starts by #Bozzelli and #BenEvans. Hoping for a good #start !,"anticipation
joy
optimism"
@DepressedStride &gt; huff louder,"pessimism
sadness"
"@theclobra lol I thought maybe, couldn't decide if there was levity or not","anticipation
joy"
There's a certain hilarity in people angry at protests against the national anthem or the flag when these acts are covered by 1st Amendment.,"anger
disgust"
@Cherie_Fitz it's being extremely playful,"joy
love
optimism"
@BarackObama I love Lizzy Warren's latest rage against Wall Street.,"anger
joy
love"
I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged,"anger
pessimism"
"CommunitySleepCoach: Look at these #narcoleptic #puppies. Make you #smile. If you are human &amp; find yourself in such odd positions, seek #th…","joy
love"
*Sigh* #depression #saddness #afterellen #shitsucks,"anger
disgust
pessimism
sadness"
@Evan_McMullin He's spent his campaign dividing people up and pitting them against each other. His message is to fear and resent the 'other',"anger
disgust
fear
sadness"
@_MariaPetrova should have stopped after 'smiled'. Being rude=not the same as being funny.It was just being mean #bully  #stoppickingonwomen,"anger
disgust
sadness"
"@01Starblazer 9 -9 vs Atlanta this yr, 2 - 11 vs Rockies and DBacks this yr. That's a combined 11 - 20 vs 3 atrocious teams in NL #awful","anger
disgust"
I see I'll be hovering over the block button today with much glee.,"anticipation
joy
optimism"
"@LaneWoolery @FFKazman experience all plays a role in that, it's education and preparedness not fear","anticipation
fear
optimism"
"@bt_uk appointment booked between 1-6 today, waited in all day and nobody showed up, also requested a call back and never got one #awful","anger
disgust"
@airvistara as always it was indeed a wonderful experience flying with you guys today #bestinbusiness #delight #happyme,"joy
optimism
surprise
trust"
Summer officially ends today. #sadness,sadness
@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone,"anger
disgust"
"Be happy. Be who you want to be. If others don't like it, then let them be. Happiness is a choice. Life isn't about pleasing everybody....","joy
optimism"
@F1abraham holy shit...what the hell happened to your lips!! Fix that shit! #mtv #teenmom #horrible,"anger
disgust"
"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! ","joy
optimism"
final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness
@HillaryClinton did you see the gleeful look on @realDonaldTrump 's face when criminal Don King used the 'n' word to denigrate Blacks?,"anger
disgust
joy"
Maybe the entire Russian team will test positive for meldonium and the North Americans will get to replace them ,"anger
anticipation
disgust"
Hey folks sorry if anything offensive got posted on here yesterday my account got hacked. All fixed now though. I hope :-/ #angry #annoyed,"anger
disgust"
@kcbbcxo don't get discouraged! it's early on &amp; it can get overwhelming. keep reading &amp; use cue cards 😊 it'll get better!!,"joy
optimism"
I need a bit of #GBBO to cheer me up after a terrible day!,"optimism
sadness"
When @idinamenzel says she's releasing more #IdinaParty tickets and you set an alarm to not miss it... #fingerscrossed #Idina.,"anticipation
joy
optimism
trust"
@JackCurryYES he's just lucky...bad pitchers...#WHATEVER...ElKracken is #legit #future  #gottawearshades #LetsGoYankees,"anger
disgust
optimism"
in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,"anger
fear"
I was not made for this world. #empath #unhappy,sadness
"Df not be afraid to take a chance on peace, to teach peace, to live peace.Peace will be the last wordvof history Pope John Paul II","joy
love
optimism
trust"
"@pugglelover3691 some of those haters are just taught hate and not shown love. There is a good quote that goes to your comment tiff, treat","anger
sadness"
i'm... nervous about this test rip,"anticipation
fear
sadness"
"Tiangong 1, China's first space laboratory, will come to a fiery end in late 2017. The average decommissioned satellite either burns ...",
@enews #breezy deserve it..,"anticipation
joy
optimism"
"@TheJonFedor @abdophoto My main hesitation to going to the Plus size. But if Apple can get the Plus to the 6 size, think of the ASP jump","anticipation
optimism
sadness"
#chirp look out for them Cars coming from the Wesszzz,anticipation
"@GOP she's ahead in the polls &amp; after Trumps dismal performance at upcoming debate, it will be an easy win for Hillary.","anticipation
joy
optimism"
Ryan Gosling and Eva Mendes finally  ; B joyful an funny/dont boss/dont argue/do everything with kids/go on mini car trips/ focus on love,"joy
love"
"@leighsteinberg April 25th, 2010 for me. Keep up the good work!! #sober #prouder","joy
optimism
trust"
"Hey u never know, Channel 4's version of #GBBO might actually be quite good. A few adverts aren't the end of the world. #optimism","joy
love
optimism"
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",
i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,"pessimism
sadness"
"Wow... One of my dads top favorite throwback rappers just died in a fiery car crash today in Atlanta, so sad so sad 😷😷","disgust
pessimism
sadness"
I can't wait for you to listen to my new single 'Mystery' and my new album😋. #newmusic #newsingle #newalbum #2016 #popmusic #dark,"anticipation
joy
love"
Your future is bright. #Remember,"joy
optimism"
Lets start there,
Anybody know a good place to book a show in #Montreal on short but not super-short notice? #punkrock #postpunk #blues,"anticipation
optimism
trust"
"Don't be #afraid of the space between your #dreams and #reality. If you can #dream it, you can #make it so","fear
optimism
trust"
"@Harry_Styles 💖\nHeart so pure and smile\nso bright, I love you\nmore than the number\nof stars at night.\nKindly follow me please\nHarry?\n—90,127","joy
love
optimism"
finally leaving my first job soon. i've been working here since i was 16. going to be kind of bitter sweet,sadness
"As your own lives in order to complete our amazing life journey successfully, it is there. ","joy
optimism
surprise"
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months #horrible,"anger
fear"
Hope I sleep - no nightmare of Bakewell tarts #yuk  #GBBO,fear
will brawndo cure my depression? @MikeJudge #Idiocracytoday,sadness
Why is it that we rejoice at a birth and grieve at a funeral? It is because we are not the person involved. ― Mark Twain,optimism
"#TheWordOfGOD #taught, #preached #correctly will #ComfortTheAfflicted &amp; #AfflictTheComfortable; it will #offend &amp; #TellTheTruth #AboutSin!","joy
optimism"
#india will take #revenge  by making 3 new movies like #phantom and they will be like #ghus_k_maren_ge this is how indian army take revenge,"anger
anticipation
disgust
optimism"
@Rovers what highlights ? I would imagine you will only have 30 seconds of highlights for the whole season so far . #venkysout,anticipation
I dislike people who get offended by the littlest shit .,"anger
disgust"
@salutetroye you look adorable awe,"joy
love"
"@warrensarahh @CjKiid awe, miss y'all too!:)","joy
love
sadness
trust"
"@asjoshtaylor sadly I don't think I'll see you on tour, but have fun, you're gonna rock! 🎉👌🏻💙 #HotForMeTour","joy
sadness"
@alyssasimpson21 I gave up KENDRICK LAMAR to eat barbecue with him. ,"anticipation
joy
optimism"
"@Gsmsbooksrus @goodreads 'so shines a good deed in a weary world' Roald Dahl, Charlie and the Chocolate Factory","anticipation
joy
optimism"
New play through tonight! Pretty much a blind run. Only played the game once and maybe got 2 levels it. #Rage #horror,"anger
disgust
fear"
F'n morons u23 SMFH can't just be lackadaisical,"anger
disgust
sadness"
@shae_caitlin ur road rage gives me anxiety.,"anger
fear"
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,"anticipation
joy
optimism
pessimism"
@chrisrock brings back great memories of hilarity on #SATURDAYNIGHTLIVE,"joy
love"
@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,"pessimism
sadness"
"significantly, with a #bitter smile, 'let me","anger
disgust"
@HoustonTexans just trying to go home tonight? A run on 2nd and 20 and a run on 3rd and 20? That's what champs do...#sike #losers #terrible,"anger
disgust
pessimism"
@FlannelJedi This is why I drink and watch You're the Worst as a way to cheer myself up.,"disgust
optimism
sadness"
@KennyCoble @Rosie these horrific situations will only get worse if trump is elected. vote Hillary.,fear
@Tomstarling86 He didn't have many chances to show what he can do but looked lively and had a good shot tipped over the bar before the end.,joy
Need advice on how to get out of this rut!!!!  #needmotivation,"anticipation
optimism
trust"
in health we did a think about depression and now i feel like i have it,sadness
@D_McMenemy It'll be easy to spot the parade of tiny weans in expensive jammies. Really is hilarious!,joy
"mattmilne76 Thank you for letting us know!  Please do not hesitate to contact us in the future, if our assistance is needed. Thank you!","anticipation
joy
optimism"
Are there any #horror sites that would be interested in my writing a guest article/review? Been really craving a literary outlet lately.,"anticipation
fear
trust"
“Worry is a down payment on a problem you may never have'.  Joyce Meyer. #motivation #leadership ,"joy
optimism"
Muscled man with huge heart is messing with my brain and heart. #lost #confused,sadness
